Date,City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI
2023-02-23 06:41:42,Meherpur,101.8,127.04,3.58,15.59,821.11,0.01,19.85,8.04,5
2023-02-23 06:41:42,Narail,87,105.93,5.42,6.86,480.65,0,59.37,4.24,5
2023-02-23 06:41:42,Satkhira,80.14,98.83,2.8,2.64,383.85,0,82.25,2.09,5
2023-02-23 14:23:11,Dhaka,83.08,102.42,8.35,3.26,410.56,0.29,168.8,4.5,5
2023-02-23 14:23:11,Faridpur,92.27,110.53,11.8,1.97,420.57,0.17,181.68,4.75,5
2023-02-23 14:23:12,Gazipur,81.52,99.86,8.82,1.22,397.21,0.12,164.51,4.75,5
2023-02-23 14:23:12,Gopalganj,71.45,81.53,11.44,2.19,440.6,0.26,161.65,9.37,4
2023-02-23 14:23:13,Jamalpur,107.25,128.65,12.28,3.17,500.68,0.3,191.69,6.84,5
2023-02-23 14:23:14,Kishoreganj,95.68,115.04,9.66,1.65,453.95,0.14,165.94,5.76,5
2023-02-23 14:23:14,Madaripur,87.1,104.89,11.33,1.41,400.54,0.13,164.51,3.9,5
2023-02-23 14:23:15,Manikganj,84.3,102.72,9.42,1.41,407.22,0.13,171.66,4.69,5
2023-02-23 14:23:15,Munshiganj,87.2,106.12,9.78,1.5,400.54,0.15,151.63,3.67,5
2023-02-23 14:23:16,Mymensingh,126.63,148.64,13.83,1.86,567.44,0.15,191.69,7.22,5
2023-02-23 14:23:16,Narayanganj,89.07,108.89,10.49,9,494,1.05,165.94,5.07,5
2023-02-23 14:23:17,Narsingdi,85.04,103.98,8.35,1.84,413.9,0.17,174.52,4.69,5
2023-02-23 14:23:17,Netrokona,78.86,90.52,8.7,2.42,494,0.2,114.44,6.02,5
2023-02-23 14:23:18,Rajbari,101.3,121.94,14.31,2.04,453.95,0.17,191.69,4.88,5
2023-02-23 14:23:18,Shariatpur,88.15,106.1,9.66,1.32,393.87,0.12,150.2,3.26,5
2023-02-23 14:23:19,Sherpur,152,173.96,15.02,3.3,654.22,0.26,203.13,10.26,5
2023-02-23 14:23:19,Tangail,93.36,113.85,13.35,1.86,420.57,0.17,188.83,3.36,5
2023-02-23 14:23:20,Bogra,94.78,110.24,14.66,2.64,453.95,0.24,185.97,5.7,5
2023-02-23 14:23:20,Joypurhat,91.32,105.71,10.73,2.68,447.27,0.26,175.95,6.46,5
2023-02-23 14:23:21,Naogaon,80.37,98.35,12.64,2.49,407.22,0.25,174.52,5.38,5
2023-02-23 14:23:21,Natore,89.57,110.97,13.83,2.34,427.25,0.22,185.97,4.43,5
2023-02-23 14:23:22,Nawabganj,128.43,144.53,33.85,6.68,660.9,0.85,171.66,11.4,5
2023-02-23 14:23:22,Pabna,97.78,120.21,14.31,2.36,433.92,0.2,197.41,4.02,5
2023-02-23 14:23:23,Rajshahi,91.55,115.57,19.07,5.01,427.25,0.51,188.83,4.81,5
2023-02-23 14:23:23,Sirajgonj,97.74,119.85,15.97,2.01,423.91,0.17,191.69,3.61,5
2023-02-23 14:23:24,Dinajpur,113.36,126.34,7.57,1.48,560.76,0.13,177.38,9.37,5
2023-02-23 14:23:24,Gaibandha,108.44,122.6,9.42,1.71,507.36,0.15,178.81,7.85,5
2023-02-23 14:23:25,Kurigram,162.19,181.09,10.97,1.78,714.3,0.14,183.11,13.05,5
2023-02-23 14:23:26,Lalmonirhat,217.6,240.35,11.56,1.89,907.9,0.14,194.55,15.07,5
2023-02-23 14:23:26,Nilphamari,192.95,212.99,9.78,1.63,841.14,0.13,185.97,13.81,5
2023-02-23 14:23:27,Panchagarh,260.48,283.56,8.94,1.61,1108.17,0.12,173.09,12.54,5
2023-02-23 14:23:27,Rangpur,145.32,161.29,8.11,1.69,674.25,0.14,183.11,12.54,5
2023-02-23 14:23:28,Thakurgaon,238.24,262.93,10.25,1.67,1028.06,0.13,178.81,15.2,5
2023-02-23 14:23:29,Barguna,75.95,96.55,2.83,0.3,337.12,0.03,101.57,0,5
2023-02-23 14:23:30,Barisal,86.78,106.19,8.7,0.94,380.52,0.08,130.18,2.57,5
2023-02-23 14:23:30,Bhola,76.91,97.8,2.47,0.17,343.8,0.01,111.58,0,5
2023-02-23 14:23:31,Jhalokati,82.03,101.75,6.5,0.71,363.83,0.06,117.3,1.55,5
2023-02-23 14:23:32,Patuakhali,76.08,93.62,4.17,0.42,343.8,0.03,113.01,0.08,5
2023-02-23 14:23:32,Pirojpur,85.57,102.87,10.37,1.35,380.52,0.13,133.04,1.47,5
2023-02-23 14:23:33,Bandarban,99.37,106.43,3.55,0.92,433.92,0.1,127.32,0.2,5
2023-02-23 14:23:33,Brahmanbaria,86.35,103,19.31,5.4,387.19,0.55,167.37,3.1,5
2023-02-23 14:23:34,Chandpur,79.02,95.78,9.3,1.01,383.85,0.06,134.47,1.79,5
2023-02-23 14:23:34,Chittagong,105.25,114.45,9.18,4.37,453.95,0.5,135.9,0,5
2023-02-23 14:23:35,Comilla,76.51,91.32,7.75,1.14,383.85,0.1,131.61,2.88,5
2023-02-23 14:23:35,CoxBazar,93.83,100.61,2.89,0.76,423.91,0.07,133.04,0,5
2023-02-23 14:23:36,Feni,73.6,86.47,2.62,0.65,363.83,0.04,105.86,1.05,4
2023-02-23 14:23:36,Khagrachari,88.65,97.36,2.68,0.65,397.21,0.04,118.73,0,5
2023-02-23 14:23:37,Lakshmipur,76.35,94.65,3.46,0.58,353.81,0.04,105.86,1.6,5
2023-02-23 14:23:37,Noakhali,75.84,91.96,2.3,0.49,353.81,0.05,100.14,1.05,5
